CPUID Family_Model,Stepping,Code Name(s) / Microarchitecture(s),CPUID,MCU Update,Indirect Branch Predictor Delayed Updates - CVE-2024-45332 - INTEL-SA-01247,Indirect Target Selection (IBPB) - CVE-2024-28956 - INTEL-SA-01153,Indirect Target Selection (Guest-Host) - CVE-2024-28956 - INTEL-SA-01153,Indirect Target Selection cBPF - CVE-2024-28956 - INTEL-SA-01153,Machine Check Error Avoidance Derivative - CVE-2024-31068 - INTEL-SA-01166,Sub-Page Permission - CVE-2024-36242 - INTEL-SA-01196,Running Average Power Limit Derivative (RAPL) - CVE-2024-23984 - INTEL SA-01103,Machine Check Error Avoidance Derivative - CVE-2024-25939 - INTEL-SA-01118,Register File Data Sampling (RFDS) (Floating Point/Integer / Single Instruction/Multiple Data) - CVE-2023-28746 - INTEL-SA-00898,Trusted Execution Configuration Register Access - CVE-2023-22655 - INTEL-SA-00960,Incomplete Branch Prediction Barrier - CVE-2023-38575 - INTEL-SA-00982,Bus Lock Regulator - CVE-2023-39368 - INTEL-SA-00972,Redundant Prefix Issue (Reptar) - CVE-2023-23583 - INTEL-SA-00950,Gather Data Sampling (GDS) - CVE-2022-40982 - INTEL-SA-00828,Post-barrier Return Stack Buffer Predictions - CVE-2022-26373 - INTEL-SA-00706,Stale Data Read from Legacy xAPIC - CVE-2022-21233 CVE-2022-38090 - INTEL-SA-00657 -Intel-SA-00767,Return Stack Buffer Underflow (RSBU) RSB Alternate Behavior (RSBA) - CVE-2022-29901 - INTEL-SA-00702,Return Stack Buffer Underflow (RSBU) Restricted RSB Alternate Behavior (RRSBA) - CVE-2022-28693 - INTEL-SA-00707,MMIO: Device Register Partial Write (DRPW) - CVE-2022-21166 - INTEL-SA-00615,MMIO: Shared Buffers Data Sampling (SBDS) - CVE-2022-21125 - INTEL-SA-00615 - Shared Buffers Data Read (SBDR) - CVE-2022-21123 - INTEL-SA-00615,Undefined MMIO Hang (UMH) - CVE-2022-2118 - INTEL-SA-00645,Branch History Injection (BHI) - CVE-2022-0001 - INTEL-SA-00598,Intra-Mode BTI - CVE-2022-0002 - INTEL-SA-00598,Fast Store Forwarding Predictor: Cross Domain - CVE-2021-0145 - INTEL-SA-00561,Missing Page Fault - CVE-2021-33120 - INTEL-SA-00589,Speculative Code Store Bypass (SCSB) - CVE-2021-0089 - INTEL-SA-00516,Floating Point Value Injection (FPVI) - CVE-2021-0086 - INTEL-SA-00516,IBRS Guest/Host - CVE-2020-24511 - INTEL-SA-00464,Influence of Trivial Data Value in Cache Policy - CVE-2020-24512 - INTEL-SA-00464,Atom Processor Domain ByPass - CVE-2020-24513 - INTEL-SA-00465,Running Average Power Limit (RAPL/Platypus) - CVE-2020-8695 INTEL-SA-00389,Fast Store Forwarding Predictor: Cross Thread - CVE-2020-8698 INTEL-SA-00381,Special Register Buffer Data Sampling - CVE-2020-0543 - INTEL-SA-00320 - SRBDS Update - CVE-2022-21127 - INTEL-SA-00666,Snoop-assisted L1D Sampling - CVE-2020-0550 - INTEL-SA-00330,Load Value Injection: Zero Data - CVE-2020-0551 - INTEL-SA-00334,Load Value Injection: Stale Data - CVE-2020-0551 - INTEL-SA-00334,L1D Eviction Sampling - CVE-2020-0549 - INTEL-SA-00329,Vector Register Sampling Active - CVE-2020-8696 - INTEL-SA-00381,Vector Register Sampling - CVE-2020-0548 - INTEL-SA-00329,Machine Check Error Avoidance - CVE-2018-12207 - INTEL-SA-00210,TSX Asynchronous Abort (TAA) - CVE-2019-11135 - INTEL-SA-00270,SWAPGS - CVE-2019-1125,Microarchitectural Load Port Data Sampling (Zombieload/RIDL/Fallout) - CVE-2018-12127 - INTEL-SA-00233,Microarchitectural Store Buffer Data Sampling (Zombieload/RIDL/Fallout) - CVE-2018-12126 - INTEL-SA-00233,Microarchitectural Fill Buffer Data Sampling (Zombieload/RIDL/Fallout) - CVE-2018-12130 - INTEL-SA-00233,L1 Terminal Fault (L1TF/Foreshadow) - CVE-2018-3615 - CVE-2018-3620 - CVE-2018-3646 - INTEL-SA-00161,Speculative Store Bypass (Spectre v4) - CVE-2018-3639 - INTEL-SA-00115,Rogue System Register Read (Spectre v3a):RDMSR - CVE-2018-3640 - INTEL-SA-00115,Rogue Data Cache Load (Meltdown) - CVE-2017-5754 - INTEL-SA-00088,Branch Target Injection (Spectre v2) - CVE-2017-5715 - INTEL-SA-00088,Bounds Check Bypass (Spectre v1) - CVE-2017-5753 - INTEL-SA-00088
06_5CH,A,Apollo Lake,506CA,0x28,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU+Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,MCU,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,MCU+Software,Not Affected,Not Affected,MCU+Software,Software
06_5EH,3,1. Skylake Xeon E3 - 2. Skylake H - 3. Skylake S,506E3,0xf6,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Software,Not Affected,MCU+Software,MCU+Software,MCU+Software,Not Affected,Not Affected,Not Affected,Not Affected,Software,Software,Not Affected,MCU,Not Affected,MCU,Not Affected,MCU+Software,Not Affected,Software,Software,MCU,MCU+Software,MCU+Software,Software,MCU+Software,Software,MCU+Software,MCU+Software,MCU+Software,MCU+Software,MCU+Software,MCU,Software,MCU+Software,Software
06_5FH,All,Denverton (Goldmont),506F1,0x3e,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU+Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,MCU,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,MCU+Software,Not Affected,Not Affected,MCU+Software,Software
06_6AH,6,Ice Lake Xeon-SP,606A6,0xd000404,MCU,MCU,Not Affected,Software,Not Affected,Software,MCU,Not Affected,Not Affected,BIOS+MCU,Not Affected,Not Affected,MCU,MCU,Software,MCU+Software,Not Affected,Not Affected,MCU+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_6CH,All,Ice Lake Xeon D,606C1,0x10002d0,MCU,MCU,Not Affected,Software,Not Affected,Software,MCU,Not Affected,Not Affected,BIOS+MCU,Not Affected,Not Affected,MCU,MCU,Software,MCU+Software,Not Affected,Not Affected,MCU+Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_7AH,1,Gemini Lake,706A1,0x40,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU_BIOS+Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,MCU,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,MCU+Software,Not Affected,Software,MCU+Software,Software
06_7AH,8,Gemini Lake,706A8,0x26,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU_BIOS+Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,Software,Software,Not Affected,Not Affected,MCU,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,MCU+Software,Software
06_7EH,5,Ice Lake U Ice Lake Y,706E5,0xca,MCU,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU,MCU,Software,Software,Not Affected,Software,MCU+Software,MCU+Software,Not Affected,Software,Software,MCU,Not Affected,Software,Software,MCU,MCU,Not Affected,MCU,MCU,Not Affected,Not Affected,Not Affected,Hardware+MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Hardware+MCU,Not Affected,Not Affected,Hardware+Software,Not Affected,Not Affected,Hardware+Software,Software
06_86H,5,Snow Ridge (Tremont),80665,0x4c000026,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,No planned mitigation,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,MCU+Software,Not Affected,Not Affected,Software,Software,Not Affected,MCU,Software,Software,Not Affected,Not Affected,MCU,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,MCU+Software,Not Affected,Not Affected,Hardware+Software,Software
06_86H,7,Parker Ridge/ Snow Ridge,80667,0x4c000026,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,MCU+Software,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,MCU+Software,Not Affected,Not Affected,Software,Software,Not Affected,MCU,Software,Software,Not Affected,Not Affected,Not Affected,MCU,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Not Affected,Software,Not Affected,Not Affected,Not Affected,Not Affected,MCU+Software,Not Affected,Not Affected,Hardware+Software,Software
